,StateAbbr,CityName,UniqueID,DataValueTypeID,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,PopulationCount,GeoLocation,CityFIPS,TractFIPS
53,WA,Bellevue,5305210-53033023403,CrdPrv,8.5,7.5,9.7,"3,888","(47.5806620337, -122.113184041)",5305210.0,53033023403.0
2444,WA,Bellevue,5305210-53033023100,CrdPrv,8.0,7.2,9.0,"3,792","(47.6046199741, -122.107334514)",5305210.0,53033023100.0
4447,WA,Bellevue,5305210-53033024903,CrdPrv,7.4,6.6,8.4,"6,512","(47.5503481399, -122.14105272)",5305210.0,53033024903.0
4641,WA,Bellevue,5305210-53033023201,CrdPrv,6.7,6.1,7.6,"6,223","(47.6186066422, -122.137540888)",5305210.0,53033023201.0
4646,WA,Bellevue,5305210-53033023202,CrdPrv,10.5,9.5,11.6,"4,345","(47.6179635713, -122.127072764)",5305210.0,53033023202.0
4789,WA,Bellevue,5305210-53033025003,CrdPrv,8.2,7.3,9.2,"4,582","(47.5554377766, -122.112677181)",5305210.0,53033025003.0
4877,WA,Bellevue,5305210-53033022901,CrdPrv,8.3,7.3,9.4,"2,924","(47.6365016912, -122.118477161)",5305210.0,53033022901.0
4888,WA,Bellevue,5305210-53033023801,CrdPrv,8.5,7.8,9.3,"2,536","(47.5957109335, -122.188698213)",5305210.0,53033023801.0
5590,WA,Bellevue,5305210-53033023700,CrdPrv,8.0,7.3,8.8,"3,971","(47.6327126745, -122.173700223)",5305210.0,53033023700.0
5838,WA,Bellevue,5305210-53033023300,CrdPrv,10.2,9.2,11.1,"6,217","(47.6002563463, -122.128436395)",5305210.0,53033023300.0
6041,WA,Bellevue,5305210-53033023401,CrdPrv,8.4,7.7,9.3,"3,546","(47.58674892, -122.146731553)",5305210.0,53033023401.0
9109,WA,Bellevue,5305210-53033023603,CrdPrv,8.9,8.2,9.7,"5,963","(47.6173979477, -122.150805753)",5305210.0,53033023603.0
10219,WA,Bellevue,5305210-53033023804,CrdPrv,7.5,6.7,8.5,"3,646","(47.613280467, -122.198465921)",5305210.0,53033023804.0
10704,WA,Bellevue,5305210-53033024701,CrdPrv,9.2,8.2,10.2,"3,598","(47.5614786547, -122.180858818)",5305210.0,53033024701.0
11945,WA,Bellevue,5305210-53033023601,CrdPrv,8.4,7.5,9.3,"3,812","(47.6104589557, -122.171913884)",5305210.0,53033023601.0
13813,WA,Bellevue,5305210-53033024901,CrdPrv,7.1,6.3,8.0,"4,916","(47.5631628483, -122.157784659)",5305210.0,53033024901.0
15074,WA,Bellevue,5305210-53033024902,CrdPrv,7.7,7.0,8.6,"2,601","(47.5643288754, -122.134709858)",5305210.0,53033024902.0
16110,WA,Bellevue,5305210-53033022801,CrdPrv,7.5,6.8,8.4,"8,314","(47.646432188, -122.153220975)",5305210.0,53033022801.0
16921,WA,Bellevue,5305210-53033023900,CrdPrv,8.1,7.4,9.0,"6,625","(47.5829217087, -122.200386905)",5305210.0,53033023900.0
17598,WA,Bellevue,5305210-53033023000,CrdPrv,8.4,7.4,9.4,"5,190","(47.6205716865, -122.101363184)",5305210.0,53033023000.0
17957,WA,Bellevue,5305210-53033024000,CrdPrv,7.4,6.6,8.2,"7,596","(47.6272503519, -122.20356776)",5305210.0,53033024000.0
19371,WA,Bellevue,5305210-53033024702,CrdPrv,8.4,7.5,9.3,"2,510","(47.5470536182, -122.185549908)",5305210.0,53033024702.0
20605,WA,Bellevue,5305210-53033023604,CrdPrv,10.0,9.1,10.8,"5,838","(47.5993901316, -122.153949228)",5305210.0,53033023604.0
22245,WA,Bellevue,5305210-53033023803,CrdPrv,7.4,6.7,8.2,"3,501","(47.6192541118, -122.197858362)",5305210.0,53033023803.0
23832,WA,Bellevue,5305210-53033025006,CrdPrv,8.1,7.2,9.2,"1,173","(47.5421324177, -122.116829646)",5305210.0,53033025006.0
24145,WA,Bellevue,5305210-53033024800,CrdPrv,9.8,8.8,10.9,"2,480","(47.5746783747, -122.159590106)",5305210.0,53033024800.0
24213,WA,Bellevue,5305210-53033023500,CrdPrv,8.5,7.6,9.5,"3,667","(47.5913829094, -122.172860125)",5305210.0,53033023500.0
26930,WA,Bellevue,5305210-53033025001,CrdPrv,7.8,6.9,8.7,"2,379","(47.550260015, -122.170612484)",5305210.0,53033025001.0
